Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
smoggy,EDward Gaming,329,"['jett', 'killjoy', 'raze', 'breach', 'omen']",1002,1.00,198.0,1.07,73%,130.9,0.73,0.24,0.09,0.08,31%,14%,,,731,686,244,66,61
something,Paper Rex,221,"['jett', 'reyna', 'gekko']",790,1.14,218.5,1.24,76%,138.3,0.79,0.22,0.18,0.13,22%,18%,,,626,506,170,139,99
souhcni,Papara SuperMassive,271,"['sova', 'cypher', 'killjoy', 'fade']",329,0.81,150.5,0.72,69%,102.9,0.50,0.30,0.06,0.10,28%,11%,,,165,228,100,21,32
soulcas,Apeks,365,"['skye', 'raze', 'sova', 'kayo', 'fade']",990,0.88,161.3,0.85,72%,104.7,0.57,0.35,0.05,0.07,34%,7%,,,566,663,342,52,66
starxo,Unknown,275,"['skye', 'sage', 'omen', 'raze', 'jett']",585,0.95,182.7,0.89,72%,120.1,0.65,0.41,0.07,0.09,21%,10%,,,381,427,237,39,51
stax,T1,378,"['breach', 'skye', 'kayo', 'fade', 'sage']",1427,0.92,177.6,0.87,71%,114.3,0.62,0.42,0.05,0.08,29%,14%,,,879,1005,606,74,115
stellar,Unknown,485,"['omen', 'sage', 'killjoy', 'viper', 'cypher']",693,0.91,180.0,0.91,70%,120.7,0.63,0.24,0.07,0.09,20%,6%,,,435,479,163,48,62
sugarz3ro,ZETA DIVISION,222,"['astra', 'omen', 'viper', 'brimstone']",711,1.01,187.3,0.98,73%,122.1,0.68,0.44,0.05,0.07,25%,10%,,,483,494,312,31,47
suggest,Unknown,163,"['raze', 'breach', 'skye', 'kayo', 'jett']",331,1.01,211.8,0.98,72%,140.4,0.73,0.25,0.11,0.11,29%,6%,,,242,246,84,37,35
sushiboys,FULL SENSE,304,"['killjoy', 'cypher', 'jett']",274,0.99,189.4,0.98,71%,128.9,0.68,0.19,0.07,0.10,22%,19%,,,187,191,52,20,28
suygetsu,Natus Vincere,382,"['cypher', 'viper', 'killjoy', 'sage']",1003,1.10,202.1,1.16,72%,136.3,0.74,0.21,0.08,0.05,33%,15%,,,742,639,211,81,54
suyjing,KeepBest Gaming,126,"['raze', 'kayo', 'sova', 'breach', 'sage']",286,N/A,157.0,0.78,N/A,N/A,0.55,0.33,N/A,N/A,N/A,N/A,,,158,202,93,0,0
sylvan,Unknown,202,"['omen', 'astra', 'jett', 'brimstone', 'viper']",454,1.02,193.0,0.94,74%,124.8,0.66,0.43,0.09,0.07,26%,16%,,,301,321,195,41,33
t3xture,Gen.G,265,"['jett', 'raze']",445,1.06,218.8,1.11,71%,139.1,0.80,0.15,0.14,0.11,28%,16%,,,354,320,66,62,50
tacolilla,Unknown,285,"['jett', 'chamber', 'raze', 'skye', 'sage']",915,0.90,195.8,0.94,68%,125.7,0.67,0.18,0.18,0.19,18%,15%,,,612,650,167,164,170
takej,Unknown,194,"['reyna', 'phoenix', 'sage', 'skye', 'viper']",393,0.94,180.1,0.89,71%,117.3,0.63,0.37,0.09,0.08,35%,18%,,,248,280,145,36,31
tennn,Unknown,195,"['raze', 'killjoy', 'breach', 'sova', 'sage']",711,0.86,194.8,0.88,70%,128.4,0.66,0.18,0.13,0.16,21%,13%,,,471,536,129,87,111
tenz,Unknown,407,"['jett', 'omen', 'reyna', 'raze', 'kayo']",458,0.96,203.1,0.97,68%,132.7,0.71,0.29,0.14,0.17,21%,18%,,,323,334,134,65,78
trexx,Team Vitality,252,"['raze', 'sova', 'kayo', 'fade', 'jett']",585,1.14,233.9,1.12,73%,153.9,0.80,0.31,0.12,0.13,18%,14%,,,467,417,184,71,75
ts,Unknown,213,"['sova', 'jett', 'omen', 'astra', 'skye']",749,0.95,183.3,0.91,72%,116.7,0.64,0.42,0.08,0.09,21%,7%,,,480,527,318,57,70
turko,Fire Flux Esports,319,"['sage', 'killjoy', 'brimstone', 'skye', 'cypher']",329,0.89,155.6,0.80,72%,104.0,0.56,0.37,0.05,0.06,32%,10%,,,185,230,121,17,21
tuyz,LOUD,292,"['jett', 'raze', 'omen', 'harbor', 'sage']",1504,0.98,167.1,0.94,76%,109.0,0.61,0.44,0.05,0.06,29%,17%,,,913,967,655,76,87
twisten,Unknown,265,"['raze', 'jett']",417,0.90,202.6,0.91,64%,132.3,0.71,0.16,0.16,0.18,24%,5%,,,298,328,66,66,75
victor,Unknown,365,"['phoenix', 'raze', 'kayo', 'neon', 'skye']",1351,1.05,218.3,1.07,75%,141.1,0.74,0.28,0.13,0.12,21%,19%,,,1001,937,383,167,154
whzy,Bilibili Gaming,334,"['jett', 'raze', 'chamber']",585,1.13,250.5,1.14,71%,160.1,0.86,0.21,0.20,0.16,19%,4%,,,506,442,121,48,37
wolfen,KeepBest Gaming,229,"['sova', 'jett', 'chamber', 'killjoy']",585,0.86,199.4,0.90,65%,129.6,0.70,0.16,0.17,0.19,26%,10%,,,409,454,96,97,109
xeppaa,Cloud9,237,"['kayo', 'skye', 'raze', 'fade']",822,1.00,202.8,0.97,73%,131.4,0.70,0.37,0.07,0.09,23%,16%,,,579,597,308,61,77
xeta,Unknown,261,"['sova', 'breach', 'jett', 'skye', 'viper']",960,1.01,188.4,0.96,75%,122.0,0.64,0.36,0.06,0.07,21%,16%,,,614,641,341,56,65
xffero,Rex Regum Qeon,250,"['astra', 'viper', 'breach', 'raze', 'omen']",562,1.08,207.7,1.05,73%,132.1,0.73,0.31,0.08,0.05,23%,11%,,,410,390,174,47,30
xms,DVM Esport,156,"['omen', 'chamber', 'astra', 'brimstone', 'killjoy']",574,0.90,165.4,0.86,69%,115.9,0.59,0.26,0.06,0.06,30%,9%,,,338,393,147,36,37
xnfri,Unknown,140,"['skye', 'raze', 'kayo', 'chamber', 'jett']",349,0.83,162.5,0.73,70%,109.4,0.54,0.42,0.05,0.08,24%,11%,,,190,260,146,16,29
yosemite,Bilibili Gaming,325,"['killjoy', 'raze', 'viper', 'cypher']",585,1.05,206.7,1.04,73%,133.3,0.73,0.28,0.10,0.08,23%,19%,,,425,409,162,24,18
you,ZY Gaming,269,"['sova', 'fade', 'omen', 'skye', 'breach']",332,1.14,198.1,0.98,77%,143.5,0.68,0.33,0.11,0.04,21%,25%,,,226,231,110,17,6
yuicaw,Wolves Esports,257,"['jett', 'chamber', 'raze', 'killjoy', 'cypher']",425,0.91,202.4,0.91,66%,129.1,0.70,0.19,0.19,0.16,29%,N/A,,,297,327,79,16,14
ze1sh,Karmine Corp,36,"['sage', 'breach', 'sova', 'viper', 'skye']",344,0.67,125.9,0.63,63%,83.5,0.45,0.27,0.04,0.08,27%,11%,,,155,245,94,14,27
zeek,GoNext Esports,333,"['raze', 'sova', 'kayo', 'skye', 'reyna']",286,0.89,189.2,0.81,62%,127.2,0.66,0.25,0.10,0.12,27%,24%,,,188,231,72,28,33
zekken,Sentinels,487,"['raze', 'sova', 'jett', 'kayo', 'skye']",632,1.09,234.0,1.08,71%,157.6,0.79,0.27,0.14,0.15,22%,22%,,,499,464,168,86,92
zellsis,Sentinels,412,"['kayo', 'killjoy', 'raze', 'phoenix', 'viper']",822,1.02,184.3,1.02,73%,123.6,0.65,0.28,0.07,0.08,18%,21%,,,531,523,230,56,69
zest,Unknown,295,"['sova', 'sage', 'fade', 'viper', 'skye']",1006,0.96,178.6,0.94,71%,116.5,0.64,0.31,0.06,0.09,32%,18%,,,641,685,315,62,88
zmjjkk,EDward Gaming,440,"['jett', 'raze', 'chamber', 'neon']",1002,1.08,267.1,1.31,69%,155.9,0.95,0.17,0.19,0.16,19%,14%,,,950,725,173,148,127
zoomer,Chosen Clique Gaming,64,"['breach', 'jett', 'skye', 'raze', 'sova']",241,0.88,183.7,0.94,68%,114.3,0.67,0.32,0.09,0.09,28%,25%,,,161,171,77,11,9
zyppan,Natus Vincere,366,"['raze', 'kayo', 'sage', 'skye']",1003,0.98,194.5,0.95,73%,130.5,0.68,0.37,0.09,0.09,32%,15%,,,683,717,373,94,90
