Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
jade,ALTERNATE aTTaX Ruby,83,"['breach', 'kayo', 'jett', 'raze', 'omen']",241,1.22,271.8,1.34,75%,176.4,0.98,0.13,0.23,0.21,36%,33%,,,235,176,31,56,50
japips,Asmodeus Colosseum GC,196,"['sova', 'breach', 'reyna', 'skye', 'fade']",1432,1.01,188.0,0.99,75%,120.8,0.67,0.37,0.05,0.07,27%,12%,,,966,977,535,77,99
jazzyk1ns,Unknown,463,"['jett', 'raze', 'sage']",908,1.03,228.5,1.07,71%,150.3,0.77,0.27,0.17,0.18,20%,20%,,,696,650,242,152,165
jduh,BBL Queens,254,"['astra', 'omen', 'sova', 'viper', 'brimstone']",1147,1.09,200.9,1.04,74%,130.4,0.70,0.39,0.08,0.06,28%,18%,,,803,770,449,92,74
jeje,Infinity X,108,"['raze', 'jett', 'astra', 'neon', 'killjoy']",556,0.81,193.0,0.85,68%,129.1,0.67,0.22,0.12,0.18,25%,21%,,,374,439,120,66,102
jelly,MIBR GC,276,"['kayo', 'raze', 'skye', 'breach', 'jett']",1114,1.20,259.7,1.20,74%,168.2,0.88,0.29,0.19,0.15,30%,15%,,,984,817,320,216,163
jem,Unknown,63,"['sova', 'raze', 'skye', 'jett', 'fade']",294,0.90,170.6,0.80,72%,119.1,0.56,0.37,0.07,0.08,21%,19%,,,165,207,109,20,23
jexter,DIS Estrada,75,"['killjoy', 'skye', 'sova', 'breach', 'kayo']",389,0.82,199.2,0.83,64%,136.3,0.68,0.17,0.14,0.14,25%,14%,,,265,321,66,56,53
jia,Unknown,105,"['jett', 'skye', 'sova', 'raze', 'gekko']",425,0.96,209.3,0.98,68%,139.3,0.73,0.26,0.11,0.14,22%,15%,,,312,320,111,45,56
jiex,VALIANT GC,181,"['breach', 'skye', 'kayo', 'sage', 'jett']",1071,0.93,186.1,0.88,72%,123.6,0.66,0.39,0.09,0.07,27%,14%,,,704,799,419,95,74
jinny,Ambitious Legend Gaming GC,324,"['breach', 'omen', 'skye', 'sova', 'kayo']",1220,1.02,181.7,0.99,76%,116.8,0.65,0.46,0.05,0.06,24%,15%,,,794,800,564,57,68
jinx,Unknown,71,"['breach', 'skye', 'kayo', 'chamber', 'killjoy']",285,0.98,190.9,0.88,70%,125.1,0.67,0.45,0.07,0.07,26%,10%,,,192,218,128,19,20
joanne,Playbay X VISION SYNC,99,"['killjoy', 'cypher', 'viper', 'chamber', 'raze']",322,0.85,186.4,0.80,70%,122.8,0.61,0.22,0.07,0.09,20%,4%,,,195,243,70,24,30
joliinaa,GIANTX GC,172,"['omen', 'viper', 'jett', 'raze', 'brimstone']",1371,1.27,239.8,1.27,78%,154.2,0.83,0.48,0.09,0.06,24%,21%,,,1141,899,653,118,76
joojina,Team Liquid Brazil,319,"['omen', 'astra', 'brimstone', 'jett', 'sage']",1374,1.10,196.3,1.13,76%,128.1,0.71,0.40,0.07,0.07,28%,21%,,,980,869,551,94,96
jubs,MIBR GC,116,"['killjoy', 'viper', 'cypher', 'chamber', 'sage']",277,1.05,214.9,0.96,68%,146.5,0.74,0.16,0.08,0.06,27%,5%,,,205,213,44,22,16
jules,Unknown,53,"['killjoy', 'skye', 'sova', 'breach', 'jett']",231,0.96,191.7,0.90,72%,135.5,0.66,0.18,0.05,0.04,28%,8%,,,152,168,42,12,10
julia,Unknown,252,"['jett', 'viper', 'astra', 'omen', 'killjoy']",358,1.02,207.6,1.01,72%,136.0,0.75,0.25,0.07,0.05,36%,5%,,,268,266,91,24,19
julia,Unknown,40,"['killjoy', 'raze', 'cypher', 'jett', 'chamber']",577,0.81,181.7,0.82,65%,124.8,0.62,0.15,0.12,0.16,32%,15%,,,358,437,85,69,92
julie,TOG Kitsune,143,"['sova', 'skye', 'kayo', 'fade', 'viper']",576,0.86,175.1,0.79,71%,118.5,0.59,0.34,0.05,0.05,24%,11%,,,339,427,193,29,30
julis,Unknown,132,"['omen', 'astra', 'killjoy', 'sage', 'viper']",760,1.02,192.4,1.02,77%,123.1,0.68,0.37,0.06,0.05,24%,13%,,,518,510,278,43,41
june,Cicadas Gaming GC,32,"['killjoy', 'cypher']",282,0.83,179.4,0.86,70%,124.0,0.60,0.23,0.10,0.10,19%,15%,,,170,198,66,29,28
juri,DRX Changers,34,"['sova', 'skye', 'breach']",284,0.78,151.9,0.73,68%,99.3,0.52,0.34,0.05,0.07,16%,12%,,,147,202,96,13,20
juw,Akave Esports GC,136,"['raze', 'jett', 'sage', 'chamber', 'fade']",332,0.98,204.6,0.97,72%,138.2,0.71,0.28,0.15,0.17,26%,14%,,,235,242,92,49,56
