Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,League,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region
stavinci,ALTERNATE aTTaX,225,"['breach', 'kayo', 'skye', 'omen', 'sage']",335,0.72,149.6,0.67,65%,98.9,0.51,0.44,0.06,0.14,26%,18%,172,258,148,21,48,2023,Challengers,False,0.72,0.54,0.82,EMEAS
sterben,Papara SuperMassive,356,"['omen', 'viper', 'astra', 'kayo', 'fade']",652,1.02,197.5,0.99,70%,126.3,0.67,0.4,0.1,0.11,30%,12%,439,443,258,66,69,2023,Challengers,False,1.02,0.85,0.44,EMEAS
stew,JDG Esports,143,"['jett', 'raze']",869,1.18,243.0,1.31,73%,144.3,0.85,0.23,0.14,0.08,26%,16%,742,567,198,103,55,2023,Challengers,False,1.18,1.03,0.11,China
stix,Incognito,354,"['sova', 'viper', 'omen', 'skye', 'breach']",926,0.95,174.6,0.91,70%,116.3,0.62,0.3,0.06,0.07,31%,8%,573,628,276,59,63,2023,Challengers,False,0.95,0.83,0.4,EMEAS
sturnn,Fenerbahçe Esports,213,"['omen', 'killjoy', 'viper', 'cypher', 'astra']",674,0.93,174.3,0.86,69%,114.2,0.61,0.28,0.06,0.07,25%,13%,414,484,192,41,45,2023,Challengers,True,0.93,0.78,0.39,EMEAS
styron,Disguised,219,"['sova', 'fade', 'killjoy', 'skye', 'breach']",588,1.04,194.0,0.99,71%,126.1,0.68,0.34,0.07,0.09,24%,23%,399,402,200,44,50,2023,Challengers,False,1.04,0.85,0.36,Americas
styron,Disguised,219,"['sova', 'fade', 'killjoy', 'skye', 'breach']",588,1.04,194.0,0.99,71%,126.1,0.68,0.34,0.07,0.09,24%,23%,399,402,200,44,50,2023,Challengers,False,1.04,0.85,0.36,Pacific
suka,Rapid Lofi,253,"['killjoy', 'cypher', 'fade', 'breach', 'sova']",375,1.13,212.6,1.1,76%,140.2,0.74,0.38,0.05,0.04,27%,13%,278,252,141,18,16,2023,Challengers,False,1.13,0.86,0.31,Pacific
sunshine,who cars?,117,"['omen', 'sova', 'skye', 'killjoy', 'brimstone']",395,0.82,167.2,0.74,66%,113.5,0.55,0.35,0.1,0.11,27%,15%,217,295,140,39,44,2023,Challengers,False,0.82,0.63,0.57,EMEAS
supamen,Evil Geniuses,336,"['omen', 'astra', 'viper', 'brimstone']",785,0.95,182.5,0.9,72%,117.5,0.63,0.4,0.06,0.09,32%,26%,494,546,314,46,72,2023,Challengers,False,0.95,0.81,0.5,Americas
surf,Talon Esports,136,"['jett', 'chamber', 'killjoy']",240,0.91,224.8,0.97,65%,145.8,0.78,0.17,0.17,0.22,28%,9%,188,194,41,40,52,2023,Challengers,False,0.91,0.64,0.14,Pacific
suther,RETA Esports,213,"['raze', 'viper', 'kayo', 'killjoy', 'gekko']",507,1.01,198.0,0.96,73%,128.9,0.67,0.42,0.09,0.1,24%,13%,338,351,213,44,50,2023,Challengers,False,1.01,0.81,0.46,Americas
swerl,Nova Esports,302,"['raze', 'jett', 'omen', 'phoenix', 'killjoy']",337,1.23,273.2,1.32,69%,182.2,0.95,0.19,0.2,0.15,28%,32%,319,242,65,69,51,2023,Challengers,False,1.23,0.92,0.03,China
symon,Hurricane Of Feathers,102,"['jett', 'raze', 'skye', 'kayo', 'neon']",273,0.89,207.1,0.87,64%,136.2,0.7,0.17,0.16,0.17,23%,12%,192,221,46,44,46,2023,Challengers,False,0.89,0.64,0.2,EMEAS
sym,TSM,368,"['raze', 'jett', 'reyna', 'neon']",1027,0.96,222.3,1.01,70%,147.2,0.78,0.18,0.24,0.22,28%,19%,802,798,181,247,221,2023,Challengers,False,0.96,0.86,0.14,Americas
syouta,FENNEL,201,"['astra', 'jett', 'raze', 'viper', 'cypher']",1326,1.22,230.3,1.27,76%,149.7,0.83,0.34,0.1,0.08,27%,12%,1100,863,446,129,101,2023,Challengers,False,1.22,1.13,0.17,Pacific
syyse,RTZN,146,"['omen', 'astra', 'sova', 'viper', 'kayo']",271,0.96,185.0,0.95,69%,120.6,0.65,0.26,0.07,0.08,25%,12%,176,186,70,19,23,2023,Challengers,False,0.96,0.69,0.32,EMEAS
szimpli,DVM Esport,286,"['raze', 'chamber', 'jett', 'reyna']",307,1.07,247.9,1.13,68%,161.0,0.88,0.14,0.2,0.18,23%,9%,271,240,43,60,55,2023,Challengers,False,1.07,0.79,0.07,EMEAS
tag,DSYRE,227,"['raze', 'cypher', 'killjoy', 'breach', 'jett']",620,1.07,208.3,1.06,73%,137.4,0.74,0.33,0.07,0.08,26%,18%,457,430,207,44,50,2023,Challengers,False,1.07,0.88,0.27,EMEAS
takas,Gentle Mates,284,"['jett', 'raze', 'sova', 'sage', 'breach']",1039,1.14,246.5,1.27,71%,156.9,0.88,0.16,0.19,0.17,22%,28%,913,720,164,202,173,2023,Challengers,False,1.14,1.02,0.07,EMEAS
teague,Blinn,607,"['kayo', 'skye', 'breach', 'sova']",265,1.05,206.6,0.93,71%,138.0,0.7,0.46,0.1,0.09,24%,11%,185,199,122,27,24,2023,Challengers,False,1.05,0.75,0.46,Americas
techno,Orangutan,177,"['omen', 'viper', 'skye', 'sova', 'fade']",561,0.92,183.7,0.88,68%,123.2,0.66,0.27,0.06,0.07,25%,16%,368,420,154,36,39,2023,Challengers,False,0.92,0.75,0.32,Pacific
teerapong,Team NKT,154,"['raze', 'skye', 'kayo', 'sage', 'breach']",525,0.96,185.4,0.87,73%,122.8,0.62,0.45,0.07,0.07,20%,17%,324,371,237,36,35,2023,Challengers,False,0.96,0.77,0.6,Pacific
tempz,LaZe,165,"['skye', 'breach', 'kayo', 'sova', 'sage']",961,0.96,189.8,0.9,74%,123.3,0.66,0.4,0.07,0.07,25%,10%,631,698,386,63,71,2023,Challengers,False,0.96,0.85,0.45,Pacific
tesseract,Velocity Gaming,227,"['sova', 'fade', 'skye', 'sage']",803,1.13,231.5,1.22,71%,150.0,0.84,0.23,0.11,0.08,33%,14%,676,556,187,92,63,2023,Challengers,False,1.13,0.97,0.12,Pacific
tex,LEVIATÁN,370,"['jett', 'raze', 'kayo', 'reyna', 'chamber']",1233,1.09,226.8,1.2,74%,147.9,0.82,0.18,0.21,0.15,29%,20%,1013,845,217,255,191,2023,Challengers,False,1.09,1.0,0.12,Americas
thebigfiz,Mandatory,263,"['sova', 'breach', 'viper', 'omen', 'skye']",722,1.0,185.7,0.99,75%,123.9,0.66,0.32,0.07,0.07,25%,15%,477,483,231,49,52,2023,Challengers,False,1.0,0.85,0.36,
theelovefamily,FULL SENSE,288,"['cypher', 'killjoy', 'viper', 'chamber', 'raze']",716,1.1,200.8,1.14,74%,132.6,0.74,0.25,0.07,0.06,28%,18%,530,463,177,53,42,2023,Challengers,False,1.1,0.93,0.22,Pacific
theory,Six Karma,180,"['sova', 'viper', 'killjoy', 'skye', 'breach']",630,0.94,180.7,0.93,69%,122.5,0.63,0.25,0.06,0.09,28%,25%,399,429,160,38,54,2023,Challengers,False,0.94,0.78,0.33,Americas
thiefy,NOEZ FOXX,133,"['raze', 'jett', 'kayo', 'neon', 'phoenix']",708,1.01,229.3,1.02,68%,147.7,0.8,0.18,0.2,0.18,22%,18%,564,551,130,142,126,2023,Challengers,False,1.01,0.85,0.13,Pacific
thief,YFP Gaming,506,"['reyna', 'raze', 'omen', 'astra', 'cypher']",1027,1.05,199.6,1.02,77%,125.9,0.7,0.41,0.08,0.06,27%,18%,714,697,423,83,58,2023,Challengers,False,1.05,0.94,0.4,Americas
tidus,Akroma,273,"['omen', 'raze', 'sova', 'brimstone', 'killjoy']",407,1.04,206.0,1.06,73%,136.6,0.76,0.32,0.09,0.06,32%,12%,308,291,131,38,24,2023,Challengers,True,1.04,0.8,0.24,EMEAS
tinchoff,All Knights,214,"['killjoy', 'cypher', 'viper', 'chamber']",516,1.0,184.5,0.97,72%,125.3,0.66,0.21,0.08,0.07,27%,14%,340,352,109,42,36,2023,Challengers,False,1.0,0.8,0.27,Americas
tio,Rebirth Esports,249,"['sova', 'viper', 'omen', 'skye', 'killjoy']",357,0.99,181.7,0.95,72%,121.8,0.62,0.26,0.05,0.06,18%,20%,222,234,92,18,23,2023,Challengers,False,0.99,0.75,0.35,Americas
tomaszy,Karmine Corp,184,"['neon', 'jett', 'viper', 'raze', 'cypher']",745,1.09,260.9,1.19,74%,165.7,0.91,0.21,0.23,0.16,33%,23%,680,571,153,170,121,2023,Challengers,False,1.09,0.93,0.06,EMEAS
touven,Galatasaray Esports,268,"['sova', 'jett', 'raze', 'breach', 'omen']",842,0.96,209.3,0.96,67%,138.9,0.72,0.23,0.15,0.17,21%,22%,604,630,197,127,141,2023,Challengers,False,0.96,0.83,0.22,EMEAS
treelover,ESC Gaming,246,"['omen', 'astra', 'viper', 'brimstone', 'sova']",376,1.05,206.2,0.98,73%,129.8,0.7,0.42,0.07,0.1,28%,21%,264,270,157,28,36,2023,Challengers,False,1.05,0.8,0.41,EMEAS
trent,G2 Esports,293,"['sova', 'viper', 'fade', 'skye']",1306,1.18,222.6,1.2,78%,147.6,0.75,0.36,0.09,0.08,23%,18%,983,822,469,113,104,2023,Challengers,False,1.18,1.09,0.28,Americas
tricky,Revenant Esports,127,"['jett', 'raze', 'neon', 'killjoy']",392,0.98,211.8,1.05,67%,133.7,0.78,0.16,0.17,0.2,25%,16%,304,290,64,68,77,2023,Challengers,False,0.98,0.75,0.14,Pacific
tryst,Medal Esports,196,"['killjoy', 'viper', 'kayo', 'breach', 'omen']",529,0.95,197.3,0.92,74%,126.9,0.67,0.39,0.08,0.06,21%,16%,356,385,206,40,34,2023,Challengers,False,0.95,0.77,0.43,Pacific
tsack,GoNext Esports,274,"['killjoy', 'cypher', 'astra', 'skye']",340,0.97,193.2,0.93,68%,130.7,0.66,0.23,0.07,0.06,20%,15%,226,243,79,25,21,2023,Challengers,False,0.97,0.73,0.28,EMEAS
tvirusluke,Dragon Ranger Gaming,193,"['jett', 'raze', 'neon']",519,0.89,224.1,0.94,67%,135.1,0.77,0.16,0.17,0.18,30%,26%,402,429,81,40,42,2023,Challengers,False,0.89,0.71,0.14,China
unfake,Zerance,309,"['sova', 'skye', 'killjoy', 'breach']",737,1.18,236.5,1.28,75%,154.5,0.86,0.25,0.12,0.06,35%,15%,633,494,187,82,43,2023,Challengers,True,1.18,1.0,0.11,EMEAS
urango,Galorys,224,"['kayo', 'raze', 'breach', 'sage', 'jett']",204,0.95,221.7,0.94,71%,139.4,0.74,0.42,0.08,0.12,26%,18%,150,160,85,17,24,2023,Challengers,True,0.95,0.65,0.35,Americas
v1c,Moist x Shopify,449,"['omen', 'brimstone', 'kayo', 'killjoy', 'breach']",636,1.0,206.7,0.97,76%,132.9,0.69,0.39,0.08,0.08,25%,17%,442,455,251,51,52,2023,Challengers,False,1.0,0.83,0.39,Americas
v1nny,RED Canids,441,"['skye', 'sova', 'breach', 'kayo', 'cypher']",956,0.96,175.9,0.91,75%,118.0,0.6,0.4,0.07,0.06,31%,19%,578,634,381,63,60,2023,Challengers,False,0.96,0.85,0.56,Americas
valdyn,Alter Ego,152,"['jett', 'cypher', 'sova', 'breach', 'skye']",793,0.98,198.9,0.92,69%,131.2,0.7,0.33,0.09,0.08,21%,12%,553,604,258,72,60,2023,Challengers,True,0.98,0.84,0.32,Pacific
valyn,G2 Esports,547,"['astra', 'omen', 'viper', 'brimstone', 'harbor']",1306,1.04,199.9,1.03,76%,126.0,0.69,0.44,0.09,0.07,22%,26%,904,875,581,114,96,2023,Challengers,True,1.04,0.96,0.45,Americas
vanity,Cloud9,339,"['omen', 'astra', 'viper', 'brimstone', 'sova']",349,0.9,167.1,0.84,70%,110.7,0.57,0.32,0.08,0.09,22%,10%,200,237,112,27,33,2023,Challengers,True,0.9,0.68,0.49,Americas
veqaj,Zerance,148,"['skye', 'jett', 'raze', 'breach', 'kayo']",570,0.96,184.6,0.88,73%,115.7,0.65,0.52,0.07,0.09,29%,13%,370,422,298,41,51,2023,Challengers,False,0.96,0.78,0.66,EMEAS
vera,Disguised,234,"['jett', 'raze', 'neon']",961,1.0,234.4,1.02,70%,153.0,0.8,0.23,0.2,0.17,20%,18%,767,755,223,194,167,2023,Challengers,False,1.0,0.88,0.15,Americas
vera,Disguised,234,"['jett', 'raze', 'neon']",961,1.0,234.4,1.02,70%,153.0,0.8,0.23,0.2,0.17,20%,18%,767,755,223,194,167,2023,Challengers,False,1.0,0.88,0.15,Pacific
vers4ce,TwoKay,40,"['jett', 'raze', 'neon', 'reyna', 'breach']",279,0.68,175.4,0.68,54%,122.8,0.6,0.14,0.13,0.2,19%,7%,167,244,39,37,56,2023,Challengers,False,0.68,0.49,0.26,Pacific
vince,CGN Esports,330,"['omen', 'astra', 'brimstone', 'viper', 'sova']",509,1.02,185.0,0.98,70%,119.0,0.66,0.36,0.05,0.06,23%,21%,335,343,181,24,30,2023,Challengers,False,1.02,0.82,0.41,EMEAS
viness,Team Flash,265,"['omen', 'astra', 'viper']",662,1.11,215.1,1.05,75%,139.0,0.74,0.43,0.09,0.08,26%,14%,489,464,284,62,52,2023,Challengers,False,1.11,0.93,0.36,Pacific
virtyy,E-Xolos LAZER,495,"['kayo', 'raze', 'skye', 'jett', 'breach']",630,1.01,240.0,1.02,72%,157.0,0.81,0.21,0.23,0.2,21%,21%,508,497,135,142,128,2023,Challengers,False,1.01,0.84,0.14,Americas
vit9ine,SAGAZ,233,"['viper', 'omen', 'killjoy', 'cypher', 'brimstone']",267,1.03,210.3,1.11,70%,132.8,0.77,0.13,0.1,0.07,26%,6%,205,185,36,28,18,2023,Challengers,False,1.03,0.74,0.13,Americas
vizsla,FOCUSGG,138,"['killjoy', 'chamber', 'viper', 'cypher']",500,0.88,193.9,0.85,66%,130.6,0.65,0.14,0.12,0.13,26%,16%,325,384,71,58,66,2023,Challengers,False,0.88,0.7,0.22,Pacific
vizzz,Team Big BAAM,84,"['skye', 'kayo', 'breach']",407,0.91,179.7,0.81,73%,117.6,0.59,0.54,0.06,0.1,22%,23%,241,296,218,23,39,2023,Challengers,False,0.91,0.7,0.86,Pacific
vo0kashu,Dragon Ranger Gaming,356,"['cypher', 'killjoy', 'jett', 'viper', 'raze']",394,1.08,215.1,1.15,77%,139.0,0.77,0.23,0.05,0.08,31%,18%,302,263,92,5,9,2023,Challengers,False,1.08,0.83,0.18,China
vorwenn,Barça eSports,201,"['sova', 'jett', 'viper', 'fade', 'brimstone']",331,0.91,190.5,0.87,69%,130.1,0.66,0.28,0.08,0.06,24%,17%,217,249,92,25,20,2023,Challengers,True,0.91,0.68,0.33,EMEAS
vtagut,Falke Esports,326,"['omen', 'viper', 'astra', 'brimstone']",323,1.04,206.3,0.99,74%,138.1,0.71,0.34,0.09,0.07,26%,2%,229,231,109,29,23,2023,Challengers,False,1.04,0.77,0.32,EMEAS
w0zzip,Fire Flux Esports,135,"['kayo', 'gekko', 'breach', 'omen', 'raze']",506,0.93,182.0,0.88,72%,117.1,0.63,0.42,0.05,0.06,24%,13%,320,364,212,25,31,2023,Challengers,False,0.93,0.74,0.53,EMEAS
wackie,DSYRE,280,"['jett', 'raze', 'chamber', 'killjoy', 'kayo']",700,1.13,240.6,1.19,72%,157.1,0.84,0.21,0.17,0.16,23%,13%,589,497,148,120,110,2023,Challengers,False,1.13,0.95,0.11,EMEAS
waddle,DSYRE,375,"['sova', 'sage', 'skye', 'fade', 'viper']",941,0.98,185.9,0.95,69%,126.2,0.64,0.28,0.06,0.08,29%,17%,601,635,265,61,73,2023,Challengers,False,0.98,0.86,0.35,EMEAS
wailers,Gentle Mates,117,"['omen', 'astra', 'viper', 'cypher', 'brimstone']",1098,1.0,172.6,0.98,74%,115.4,0.62,0.36,0.06,0.06,25%,14%,685,696,393,71,63,2023,Challengers,False,1.0,0.9,0.47,EMEAS
wat,True Rippers,372,"['omen', 'astra', 'viper']",821,0.91,176.9,0.89,70%,115.9,0.63,0.34,0.06,0.09,31%,14%,520,582,280,48,70,2023,Challengers,True,0.91,0.78,0.43,Pacific
wayne,Disguised,117,"['omen', 'killjoy', 'viper', 'jett', 'sova']",506,1.03,199.1,0.99,70%,127.1,0.69,0.42,0.1,0.09,26%,15%,350,353,212,52,44,2023,Challengers,False,1.03,0.82,0.43,Americas
wayne,Disguised,117,"['omen', 'killjoy', 'viper', 'jett', 'sova']",506,1.03,199.1,0.99,70%,127.1,0.69,0.42,0.1,0.09,26%,15%,350,353,212,52,44,2023,Challengers,False,1.03,0.82,0.43,Pacific
werlass,Digital Athletics,191,"['kayo', 'viper', 'breach', 'sova', 'skye']",457,1.01,173.6,0.89,73%,115.7,0.58,0.59,0.06,0.04,25%,17%,264,297,268,26,20,2023,Challengers,True,1.01,0.79,1.03,EMEAS
wild0reoo,Team Secret,206,"['viper', 'raze', 'skye', 'sova', 'jett']",545,0.98,184.1,0.96,75%,122.1,0.66,0.34,0.07,0.09,27%,18%,357,370,184,40,47,2023,Challengers,False,0.98,0.79,0.39,Pacific
winteryrook,R8 Esports,461,"['sage', 'raze', 'kayo', 'viper', 'breach']",732,1.04,221.1,1.03,71%,139.7,0.75,0.39,0.09,0.08,25%,21%,546,528,289,68,57,2023,Challengers,False,1.04,0.88,0.31,EMEAS
wix,FearX,195,"['sova', 'killjoy', 'chamber', 'kayo', 'viper']",716,0.92,194.5,0.94,68%,131.6,0.68,0.21,0.09,0.11,26%,13%,488,519,152,65,76,2023,Challengers,False,0.92,0.78,0.25,Pacific
wo0t,Team Heretics,193,"['jett', 'viper', 'omen', 'raze', 'kayo']",675,1.12,239.6,1.15,73%,152.5,0.82,0.3,0.19,0.14,31%,19%,551,481,202,129,97,2023,Challengers,False,1.12,0.94,0.16,EMEAS
x-v-y,Le Crapaud,228,"['omen', 'astra', 'viper', 'brimstone', 'killjoy']",363,0.99,198.9,1.0,69%,129.4,0.7,0.2,0.09,0.07,27%,8%,254,253,71,31,26,2023,Challengers,False,0.99,0.75,0.22,Pacific
xanarchy,Eintracht Frankfurt,184,"['sova', 'brimstone', 'omen', 'astra', 'breach']",335,0.89,169.3,0.83,70%,111.5,0.59,0.36,0.07,0.09,32%,9%,198,239,120,25,29,2023,Challengers,False,0.89,0.66,0.52,EMEAS
xand,FURIA,257,"['jett', 'raze', 'chamber', 'skye']",576,0.98,212.9,0.98,72%,139.9,0.72,0.22,0.16,0.12,19%,7%,417,427,124,93,67,2023,Challengers,False,0.98,0.8,0.22,Americas
xan,LaZe,141,"['jett', 'raze', 'reyna', 'yoru', 'omen']",588,0.99,236.0,0.99,67%,154.9,0.81,0.19,0.2,0.19,21%,28%,475,480,113,118,112,2023,Challengers,False,0.99,0.81,0.13,Pacific
xazyy,Axolotl,219,"['astra', 'viper', 'omen', 'sova', 'fade']",700,0.9,170.6,0.86,72%,109.9,0.59,0.36,0.06,0.09,24%,7%,415,484,252,45,61,2023,Challengers,False,0.9,0.76,0.52,EMEAS
xdll,FENNEL,174,"['sova', 'fade', 'sage', 'kayo', 'skye']",1326,0.98,197.1,0.96,72%,129.9,0.68,0.34,0.08,0.1,25%,10%,907,946,452,110,126,2023,Challengers,False,0.98,0.91,0.36,Pacific
xelouz,United Gaming,247,"['breach', 'skye', 'kayo', 'raze']",400,1.03,194.5,0.94,73%,129.7,0.69,0.43,0.07,0.07,29%,17%,275,292,171,28,29,2023,Challengers,False,1.03,0.79,0.44,
xenom,Stellae Gaming,181,"['chamber', 'omen', 'jett', 'raze', 'viper']",956,1.0,214.7,1.09,68%,139.2,0.77,0.13,0.2,0.15,24%,15%,732,672,128,187,146,2023,Challengers,False,1.0,0.88,0.13,Americas
xenon,NASR Esports,414,"['omen', 'viper', 'astra', 'sova', 'skye']",659,0.97,176.8,0.91,71%,117.6,0.64,0.4,0.07,0.09,33%,13%,419,458,262,43,60,2023,Challengers,False,0.97,0.81,0.49,EMEAS
xhowi,ILLICIT,215,"['viper', 'raze', 'omen', 'sage', 'cypher']",376,0.93,186.2,0.88,68%,120.7,0.65,0.32,0.05,0.09,31%,14%,245,278,122,20,35,2023,Challengers,False,0.93,0.71,0.38,Americas
xuss,MOUZ,380,"['jett', 'raze']",926,1.06,227.5,1.13,68%,146.7,0.82,0.11,0.19,0.15,27%,5%,756,670,103,179,136,2023,Challengers,False,1.06,0.93,0.09,EMEAS
xxif,QoR,518,"['cypher', 'jett', 'raze', 'sage', 'killjoy']",463,1.04,192.7,1.02,72%,133.7,0.66,0.32,0.05,0.07,23%,10%,304,298,149,23,31,2023,Challengers,False,1.04,0.82,0.36,Americas
xyus,ONE Team Esports,128,"['jett', 'raze', 'kayo', 'neon']",567,1.15,233.4,1.2,73%,149.3,0.85,0.17,0.19,0.12,30%,17%,483,402,99,105,65,2023,Challengers,False,1.15,0.94,0.09,Pacific
xze,Sharper Esport,183,"['omen', 'jett', 'brimstone', 'astra', 'raze']",939,1.09,208.3,1.06,73%,137.1,0.74,0.4,0.07,0.07,44%,18%,697,660,371,67,64,2023,Challengers,False,1.09,0.96,0.33,Pacific
yaboilewis,FOKUS,290,"['raze', 'kayo', 'breach', 'sova', 'jett']",1301,0.97,193.0,0.95,71%,126.3,0.68,0.34,0.08,0.11,43%,15%,890,939,443,109,138,2023,Challengers,False,0.97,0.89,0.36,EMEAS
yanagi,Stream Raiders Nacague,115,"['kayo', 'sage', 'chamber', 'neon', 'breach']",305,0.8,164.3,0.68,68%,109.1,0.54,0.46,0.1,0.1,20%,6%,166,244,139,31,30,2023,Challengers,False,0.8,0.59,0.79,Pacific
yanli,ONE Team Esports,79,"['kayo', 'viper', 'breach', 'skye']",278,1.08,204.8,1.03,76%,128.5,0.69,0.53,0.06,0.08,30%,25%,191,185,147,15,20,2023,Challengers,False,1.08,0.78,0.58,Pacific
yayax,DVM Esport,84,"['omen', 'jett', 'kayo', 'viper', 'brimstone']",404,0.94,181.0,0.93,72%,118.5,0.68,0.38,0.09,0.08,36%,13%,273,293,153,37,34,2023,Challengers,False,0.94,0.72,0.4,EMEAS
yay,BLEED,325,"['jett', 'chamber', 'sage', 'breach']",340,0.97,216.4,0.96,66%,139.6,0.75,0.15,0.19,0.18,31%,11%,255,265,52,66,62,2023,Challengers,False,0.97,0.73,0.15,Pacific
yetujey,FUT Esports,218,"['killjoy', 'cypher', 'chamber', 'viper', 'sage']",675,1.12,201.2,1.21,72%,133.8,0.73,0.19,0.06,0.05,27%,18%,495,410,125,43,37,2023,Challengers,False,1.12,0.94,0.19,EMEAS
yifang,Funcrew,122,"['sova', 'killjoy', 'sage', 'jett']",251,0.98,204.6,0.97,71%,130.3,0.7,0.37,0.08,0.07,25%,21%,176,182,92,20,18,2023,Challengers,False,0.98,0.7,0.36,Pacific
yoman,Nongshim RedForce,179,"['fade', 'skye', 'kayo', 'sova', 'breach']",869,1.09,200.1,0.99,74%,134.9,0.69,0.44,0.08,0.08,23%,16%,596,604,379,56,56,2023,Challengers,False,1.09,0.95,0.45,Pacific
yoshiii,SCARZ,174,"['killjoy', 'sova', 'raze', 'skye', 'cypher']",1537,0.96,199.3,0.95,71%,131.3,0.69,0.31,0.09,0.1,25%,16%,1060,1117,483,133,158,2023,Challengers,False,0.96,0.9,0.32,Pacific
yotaa,SCARZ,188,"['killjoy', 'jett', 'chamber', 'raze', 'fade']",256,0.95,191.9,0.98,68%,130.0,0.68,0.14,0.09,0.09,30%,17%,175,179,35,24,22,2023,Challengers,False,0.95,0.68,0.2,Pacific
yuno,FIVE Media Clan,103,"['omen', 'viper', 'astra', 'brimstone', 'raze']",563,0.98,188.0,0.9,72%,120.0,0.66,0.4,0.07,0.09,24%,6%,372,413,225,38,50,2023,Challengers,True,0.98,0.8,0.45,EMEAS
z3ro,Outplayed,181,"['killjoy', 'cypher', 'chamber', 'omen', 'kayo']",326,0.92,190.0,0.89,68%,125.9,0.67,0.24,0.12,0.1,26%,12%,220,248,77,39,33,2023,Challengers,False,0.92,0.68,0.28,EMEAS
zanatsu,RED Canids,276,"['raze', 'jett', 'sova', 'neon', 'kayo']",685,1.04,229.1,1.03,69%,151.7,0.76,0.27,0.19,0.16,23%,22%,524,511,182,128,110,2023,Challengers,False,1.04,0.87,0.21,Americas
zauqk,BOBO,160,"['sova', 'fade', 'gekko', 'skye']",500,1.01,210.0,0.93,71%,140.0,0.71,0.28,0.07,0.08,23%,9%,353,381,138,37,41,2023,Challengers,False,1.01,0.81,0.27,Pacific
zepiczz,Hurricane Of Feathers,112,"['sova', 'viper', 'skye', 'astra', 'fade']",232,0.86,178.3,0.84,67%,114.6,0.62,0.3,0.07,0.11,27%,16%,144,172,69,16,26,2023,Challengers,False,0.86,0.6,0.4,EMEAS
zesbeew,BOOM Esports,346,"['jett', 'omen', 'sage', 'raze', 'reyna']",926,1.12,241.2,1.18,73%,157.1,0.84,0.2,0.17,0.12,20%,13%,777,657,184,157,112,2023,Challengers,False,1.12,0.98,0.11,Pacific
zimo,Twisted Minds Esports,262,"['viper', 'omen', 'brimstone', 'sova', 'astra']",692,1.07,200.9,1.06,74%,130.2,0.71,0.37,0.07,0.06,34%,21%,493,463,257,45,44,2023,Challengers,False,1.07,0.9,0.34,EMEAS
zmart,Onyx Ravens,202,"['raze', 'jett', 'kayo', 'fade']",604,0.88,198.1,0.84,66%,132.9,0.67,0.3,0.1,0.16,26%,16%,402,479,184,63,95,2023,Challengers,False,0.88,0.72,0.33,
zyad,Onyx Ravens,240,"['jett', 'raze', 'sova', 'killjoy']",539,0.95,216.7,0.98,68%,144.2,0.75,0.18,0.12,0.13,24%,12%,402,412,98,62,71,2023,Challengers,False,0.95,0.77,0.17,
zynd,ZOL Esports,189,"['jett', 'cypher', 'chamber', 'killjoy', 'phoenix']",482,0.97,199.8,0.95,64%,133.0,0.72,0.15,0.15,0.15,25%,16%,348,367,74,70,74,2023,Challengers,False,0.97,0.77,0.17,Pacific
1kuzohh,Rebirth Esports,93,"['raze', 'jett', 'kayo', 'reyna']",216,1.12,263.2,1.19,70%,168.8,0.9,0.16,0.22,0.21,24%,,195,164,35,48,45,2024,Challengers,False,1.12,0.77,0.06,Americas
7ssk7,NASR Esports,307,"['jett', 'breach', 'reyna']",1115,1.13,191.0,1.12,78%,121.7,0.7,0.49,0.06,0.06,31%,11%,775,691,541,72,70,2024,Challengers,False,1.13,1.02,0.5,EMEAS
999kvmil,EX0TIK GAMING,208,"['raze', 'jett', 'sova', 'reyna', 'kayo']",519,0.97,190.5,0.92,70%,128.3,0.66,0.27,0.08,0.08,27%,12%,342,370,141,42,39,2024,Challengers,False,0.97,0.78,0.32,EMEAS
aace,RIDDLE ORDER,49,"['omen', 'viper', 'raze']",704,1.01,193.1,1.07,72%,129.1,0.73,0.29,0.06,0.06,32%,16%,517,484,203,40,45,2024,Challengers,False,1.01,0.85,0.25,Pacific
absol,Murash Gaming,78,"['jett', 'raze', 'phoenix', 'yoru']",962,1.0,218.2,1.0,69%,143.0,0.76,0.21,0.16,0.14,19%,24%,731,733,202,155,136,2024,Challengers,False,1.0,0.88,0.18,Pacific
acerola,LAZY,105,"['omen', 'viper', 'killjoy', 'sage', 'kayo']",232,0.97,182.6,0.9,66%,122.3,0.65,0.26,0.06,0.08,31%,9%,150,166,60,14,18,2024,Challengers,False,0.97,0.68,0.32,Pacific
acetics,Sharper Esport,407,"['sova', 'raze', 'fade', 'skye', 'sage']",544,0.88,180.4,0.83,69%,124.4,0.64,0.25,0.08,0.09,35%,12%,348,421,136,41,51,2024,Challengers,False,0.88,0.71,0.32,Pacific
