Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
guuih,Stellae Gaming,287,"['killjoy', 'viper', 'cypher', 'chamber']",675,1.09,191.3,1.1,72%,131.7,0.68,0.19,0.08,0.06,25%,11%,459,419,125,51,41,2023,False,1.09,0.96,0.23,Americas,Americas,Americas
h1ber,NOVO Esports,333,"['raze', 'jett', 'reyna', 'sova', 'sage']",737,1.01,237.0,1.08,67%,151.5,0.81,0.19,0.23,0.2,23%,14%,597,554,137,163,144,2023,False,1.01,0.9,0.13,EMEAS,EMEAS,EMEAS
hanling,Zen eSports,139,"['jett', 'skye', 'breach', 'kayo']",316,0.83,170.3,0.78,68%,113.1,0.59,0.37,0.03,0.08,30%,13%,186,239,116,10,26,2023,False,0.83,0.64,0.53,Americas,Americas,Americas
happen,Permitta Unicorns,270,"['sova', 'fade', 'sage', 'skye']",354,0.91,184.2,0.89,73%,124.8,0.65,0.31,0.05,0.08,25%,7%,231,259,109,16,30,2023,False,0.91,0.72,0.37,EMEAS,EMEAS,EMEAS
havoc,FURIA,197,"['kayo', 'raze', 'jett', 'skye', 'chamber']",685,1.03,230.4,1.08,68%,151.8,0.78,0.18,0.22,0.17,24%,25%,536,498,124,150,118,2023,False,1.03,0.9,0.14,Americas,Americas,Americas
hearthbeat,SweetNsour,291,"['omen', 'astra', 'viper', 'cypher', 'brimstone']",523,0.97,192.1,0.93,75%,123.8,0.66,0.43,0.08,0.09,27%,16%,345,369,226,42,47,2023,True,0.97,0.82,0.49,EMEAS,EMEAS,EMEAS
hellff,Orangutan,489,"['astra', 'cypher', 'viper', 'sova', 'skye']",285,0.94,186.9,0.93,74%,119.9,0.66,0.35,0.1,0.08,26%,20%,187,202,101,29,22,2023,False,0.94,0.71,0.4,Pacific,Pacific,Pacific
hellfull,ContraxScrub,155,"['cypher', 'killjoy', 'sage']",210,0.87,181.4,0.85,68%,124.2,0.63,0.17,0.08,0.07,22%,9%,133,157,36,16,14,2023,False,0.87,0.63,0.26,,,
heynf,Cynical,163,"['jett', 'sage', 'raze', 'skye', 'breach']",522,0.94,180.9,0.88,70%,122.0,0.64,0.29,0.07,0.08,27%,12%,334,380,151,34,43,2023,False,0.94,0.79,0.36,Pacific,Pacific,Pacific
hiroronn,ZETA DIVISION,146,"['killjoy', 'reyna', 'cypher', 'sova', 'kayo']",1326,1.06,208.1,1.12,72%,137.7,0.75,0.18,0.1,0.09,27%,15%,992,883,245,130,125,2023,False,1.06,1.03,0.17,Pacific,Pacific,Pacific
hitch,ESC Gaming,290,"['sova', 'breach']",549,0.93,195.4,0.89,70%,133.4,0.65,0.31,0.06,0.1,19%,7%,355,401,170,34,54,2023,True,0.93,0.79,0.37,EMEAS,EMEAS,EMEAS
hoax,Orangutan,240,"['breach', 'kayo', 'sova', 'raze', 'skye']",750,0.97,179.7,0.9,74%,119.4,0.61,0.38,0.06,0.07,20%,11%,459,511,284,46,55,2023,False,0.97,0.86,0.51,Pacific,Pacific,Pacific
huynh,Nightblood Gaming,691,"['jett', 'sova', 'omen', 'viper', 'astra']",350,0.93,173.5,0.86,69%,113.2,0.62,0.3,0.06,0.07,22%,16%,217,252,106,21,26,2023,False,0.93,0.73,0.4,Americas,Americas,Americas
hvoya,Xi Lai Gaming,277,"['sova', 'killjoy', 'cypher', 'skye', 'jett']",760,1.13,219.1,1.13,71%,147.1,0.79,0.29,0.08,0.07,27%,11%,597,528,223,61,54,2023,False,1.13,1.01,0.19,China,China,China
hydro,Area of Effect,105,"['killjoy', 'omen', 'cypher', 'sova', 'skye']",209,1.07,207.9,1.12,73%,139.8,0.74,0.16,0.06,0.08,28%,14%,154,137,34,13,16,2023,False,1.07,0.77,0.16,Americas,Americas,Americas
hype,Apeks,395,"['killjoy', 'cypher', 'viper', 'raze']",620,1.07,213.0,1.11,73%,145.1,0.75,0.18,0.09,0.09,27%,15%,465,420,112,53,55,2023,False,1.07,0.93,0.17,EMEAS,EMEAS,EMEAS
hyp,Mandatory,296,"['breach', 'kayo', 'reyna', 'sage', 'fade']",722,0.97,167.7,0.92,77%,110.0,0.59,0.43,0.07,0.07,22%,16%,425,460,307,53,53,2023,True,0.97,0.86,0.63,,,
hyzee,Team Big BAAM,265,"['astra', 'cypher', 'killjoy', 'omen', 'sova']",806,0.99,196.5,0.95,77%,128.2,0.67,0.49,0.09,0.08,30%,14%,543,570,392,71,62,2023,False,0.99,0.89,0.56,Pacific,Pacific,Pacific
idex,Ramboot Club,292,"['killjoy', 'cypher', 'omen', 'sage', 'chamber']",563,0.91,187.6,0.93,66%,128.1,0.68,0.17,0.1,0.1,29%,19%,384,415,96,58,58,2023,True,0.91,0.78,0.22,EMEAS,EMEAS,EMEAS
ifly,Twisted Minds Esports,400,"['jett', 'skye', 'raze', 'breach', 'chamber']",293,0.92,172.0,0.91,71%,116.5,0.63,0.28,0.04,0.06,29%,2%,185,204,83,12,19,2023,False,0.92,0.7,0.36,EMEAS,EMEAS,EMEAS
iluri,MOUZ,315,"['sova', 'breach', 'killjoy', 'kayo']",503,1.02,181.6,1.0,74%,119.7,0.63,0.41,0.04,0.06,35%,12%,319,320,208,21,29,2023,True,1.02,0.85,0.52,EMEAS,EMEAS,EMEAS
infiltrator,Winthrop University,378,"['jett', 'raze', 'chamber']",396,0.99,220.1,1.06,64%,142.6,0.81,0.13,0.14,0.17,29%,21%,320,303,50,57,69,2023,False,0.99,0.8,0.1,Americas,Americas,Americas
insider,KPI Gaming,353,"['killjoy', 'cypher', 'viper', 'sage', 'kayo']",517,1.04,204.0,1.09,73%,137.3,0.71,0.17,0.08,0.07,27%,11%,368,339,87,41,38,2023,False,1.04,0.87,0.19,EMEAS,EMEAS,EMEAS
ip0tt,Galakticos,195,"['jett', 'raze', 'killjoy', 'neon', 'sage']",631,1.09,225.7,1.11,73%,147.2,0.79,0.18,0.19,0.15,27%,17%,499,448,112,118,93,2023,False,1.09,0.95,0.14,EMEAS,EMEAS,EMEAS
ivan4ezz,VX300 Gaming,238,"['breach', 'kayo', 'raze', 'sage', 'reyna']",213,0.8,181.5,0.76,65%,123.3,0.64,0.31,0.08,0.12,36%,16%,136,178,65,17,26,2023,False,0.8,0.58,0.38,EMEAS,EMEAS,EMEAS
ivy,Sin Prisa Gaming,74,"['sova', 'deadlock', 'skye', 'fade']",355,0.95,195.6,0.88,75%,129.6,0.65,0.44,0.06,0.08,26%,9%,231,262,157,21,29,2023,False,0.95,0.75,0.52,Pacific,Pacific,Pacific
izu,T1,95,"['jett', 'omen', 'raze', 'yoru']",707,1.17,252.4,1.25,73%,158.1,0.89,0.14,0.19,0.17,25%,17%,627,500,99,137,117,2023,False,1.17,1.03,0.06,Pacific,Pacific,Pacific
izzy,Papara SuperMassive,300,"['jett', 'raze', 'chamber']",652,1.03,211.2,1.12,71%,137.9,0.76,0.17,0.17,0.18,25%,13%,493,441,109,112,116,2023,False,1.03,0.9,0.15,EMEAS,EMEAS,EMEAS
jaebin,FearX,100,"['jett', 'raze']",580,0.9,213.9,0.9,69%,138.4,0.72,0.23,0.17,0.16,16%,23%,419,468,131,99,93,2023,False,0.9,0.77,0.22,Pacific,Pacific,Pacific
jakee,YFP Gaming,512,"['omen', 'viper', 'jett', 'astra']",281,0.94,192.4,0.89,75%,123.8,0.67,0.33,0.09,0.07,28%,7%,187,211,92,24,21,2023,False,0.94,0.71,0.36,Americas,Americas,Americas
jannyxd,Ramboot Club,306,"['jett', 'raze']",345,1.15,247.7,1.2,74%,156.5,0.87,0.19,0.23,0.14,27%,13%,300,250,66,78,49,2023,False,1.15,0.9,0.08,EMEAS,EMEAS,EMEAS
jas,Joblife,292,"['raze', 'jett', 'sova', 'neon']",758,1.12,257.1,1.11,70%,166.1,0.86,0.22,0.2,0.17,26%,16%,651,585,164,155,128,2023,False,1.12,1.0,0.1,EMEAS,EMEAS,EMEAS
javiierh,Chivas Esports,71,"['sova', 'skye', 'fade', 'breach', 'gekko']",265,1.23,234.0,1.23,78%,138.3,0.8,0.48,0.14,0.07,17%,25%,212,173,126,37,19,2023,False,1.23,0.92,0.3,Americas,Americas,Americas
ja,NAOS,312,"['jett', 'chamber', 'astra', 'killjoy', 'cypher']",1037,1.04,229.5,1.08,71%,150.6,0.79,0.17,0.2,0.16,24%,18%,824,760,175,204,160,2023,False,1.04,0.97,0.13,Pacific,Pacific,Pacific
jeee,ZOL Esports,149,"['viper', 'astra', 'sova', 'omen', 'fade']",381,0.95,184.5,0.87,70%,124.0,0.63,0.38,0.09,0.07,27%,13%,239,275,143,34,28,2023,False,0.95,0.76,0.48,Pacific,Pacific,Pacific
jemkin,Rex Regum Qeon,159,"['jett', 'raze', 'reyna', 'phoenix', 'killjoy']",1537,1.24,261.7,1.31,73%,169.1,0.94,0.17,0.21,0.15,29%,19%,1445,1106,257,316,223,2023,False,1.24,1.22,0.03,Pacific,Pacific,Pacific
jesse,Barça eSports,373,"['sova', 'omen', 'viper', 'skye', 'sage']",548,1.16,225.6,1.15,74%,147.0,0.82,0.34,0.09,0.06,32%,15%,447,388,186,51,34,2023,False,1.16,0.98,0.18,EMEAS,EMEAS,EMEAS
jfoen,ILLICIT,257,"['raze', 'breach', 'omen', 'jett', 'skye']",502,0.99,189.3,0.9,74%,124.2,0.64,0.49,0.08,0.11,29%,13%,322,359,248,41,56,2023,False,0.99,0.83,0.63,Americas,Americas,Americas
jkr,Permitta Unicorns,116,"['sova', 'fade', 'viper']",225,0.73,149.3,0.64,63%,104.9,0.48,0.33,0.03,0.08,22%,3%,109,171,74,6,18,2023,False,0.73,0.53,0.66,EMEAS,EMEAS,EMEAS
jkuro,JDG Esports,132,"['jett', 'breach', 'raze', 'harbor', 'chamber']",609,0.95,191.7,0.92,73%,127.0,0.66,0.4,0.06,0.11,22%,17%,402,438,243,38,64,2023,True,0.95,0.82,0.45,China,China,China
jlerst,Galakticos,298,"['viper', 'astra', 'omen', 'killjoy']",579,1.04,199.4,1.04,74%,130.9,0.72,0.35,0.08,0.06,32%,13%,419,404,201,48,37,2023,False,1.04,0.89,0.31,EMEAS,EMEAS,EMEAS
johnolsen,FULL SENSE,390,"['jett', 'raze', 'phoenix', 'breach', 'reyna']",746,1.07,230.8,1.13,72%,152.3,0.8,0.2,0.14,0.13,25%,12%,600,532,152,108,95,2023,False,1.07,0.95,0.14,Pacific,Pacific,Pacific
johnqt,Sentinels,315,"['chamber', 'killjoy', 'cypher', 'jett', 'viper']",1289,1.07,189.8,1.13,78%,127.6,0.67,0.29,0.06,0.05,22%,22%,864,765,379,77,66,2023,True,1.07,1.03,0.32,Americas,Americas,Americas
jonaaa6,FLUFFY AIMERS,721,"['breach', 'sova', 'kayo', 'astra', 'viper']",1158,0.96,189.6,0.91,72%,122.2,0.64,0.45,0.06,0.08,25%,14%,738,813,521,69,94,2023,False,0.96,0.91,0.56,Americas,Americas,Americas
jonahp,G2 Esports,471,"['skye', 'sova', 'kayo', 'viper', 'jett']",1306,1.08,198.4,1.08,77%,127.4,0.7,0.47,0.09,0.08,28%,23%,909,840,613,118,106,2023,False,1.08,1.04,0.47,Americas,Americas,Americas
jonx,Regnum Carya Esports,227,"['jett', 'raze', 'skye', 'omen', 'sage']",350,0.95,212.7,1.02,65%,136.7,0.75,0.16,0.2,0.17,25%,15%,262,258,55,71,60,2023,False,0.95,0.75,0.16,EMEAS,EMEAS,EMEAS
joshs,Alternate Realities,194,"['jett', 'raze', 'astra', 'chamber', 'killjoy']",348,0.84,195.2,0.84,69%,126.0,0.66,0.33,0.1,0.15,24%,,231,275,115,34,51,2023,False,0.84,0.66,0.37,Pacific,Pacific,Pacific
jow,E-Xolos LAZER,159,"['sova', 'viper', 'gekko', 'skye', 'fade']",502,0.96,197.6,0.91,69%,132.1,0.69,0.3,0.1,0.09,36%,15%,344,377,152,48,45,2023,False,0.96,0.8,0.31,Americas,Americas,Americas
