Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
none,9z Team GC,123,"['jett', 'neon', 'raze']",1050,1.13,259.1,1.16,69%,171.7,0.89,0.19,0.22,0.18,23%,18%,935,805,200,233,193,2024,False,1.13,1.05,0.07,GameChangers,GameChangers,GameChangers
nora,YFP X,237,"['skye', 'breach', 'viper', 'kayo', 'omen']",465,1.1,226.6,1.15,75%,147.1,0.79,0.33,0.12,0.1,29%,13%,367,320,155,58,46,2024,False,1.1,0.9,0.21,Americas,Americas,Americas
onni,Cyber Geek,39,"['jett', 'killjoy', 'raze', 'brimstone', 'neon']",211,1.09,230.9,1.08,67%,142.1,0.81,0.27,0.12,0.16,26%,9%,170,158,56,25,33,2024,False,1.09,0.78,0.16,Pacific,Pacific,Pacific
