Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
valyn,G2 Esports,547,"['astra', 'omen', 'viper', 'brimstone', 'harbor']",1727,1.04,194.6,1.01,76%,123.5,0.7,0.35,0.09,0.08,24%,19%,1201,1194,613,154,145,2024,True,1.04,1.0,0.34,Americas,Americas,Americas
vanity,Cloud9,339,"['omen', 'astra', 'viper', 'brimstone', 'sova']",762,0.9,177.8,0.86,71%,118.6,0.62,0.35,0.08,0.11,22%,14%,473,549,263,63,83,2024,True,0.9,0.77,0.46,Americas,Americas,Americas
viva,JDG Esports,120,"['sova', 'jett', 'viper']",471,,220.5,1.24,,144.5,0.78,0.28,0.1,0.03,,,367,297,130,18,6,2024,False,0.98,0.77,0.2,China,China,China
vo0kashu,Dragon Ranger Gaming,356,"['cypher', 'killjoy', 'jett', 'viper', 'raze']",680,,233.3,1.16,,167.4,0.84,0.24,0.1,0.07,,,574,495,161,17,13,2024,False,0.98,0.82,0.12,China,China,China
wailers,Gentle Mates,117,"['omen', 'astra', 'viper', 'cypher', 'brimstone']",564,0.86,153.4,0.84,69%,103.5,0.57,0.23,0.05,0.04,31%,8%,320,379,131,28,23,2024,False,0.86,0.7,0.38,EMEAS,EMEAS,EMEAS
whzy,Bilibili Gaming,334,"['jett', 'raze', 'chamber']",660,0.92,237.9,1.08,65%,145.4,0.82,0.2,0.19,0.2,22%,,544,504,134,66,67,2024,False,0.92,0.77,0.12,China,China,China
wild0reoo,Team Secret,206,"['viper', 'raze', 'skye', 'sova', 'jett']",246,1.01,192.2,1.0,76%,129.9,0.7,0.33,0.07,0.08,33%,13%,172,172,82,17,19,2024,False,1.01,0.71,0.32,Pacific,Pacific,Pacific
wo0t,Team Heretics,193,"['jett', 'viper', 'omen', 'raze', 'kayo']",1869,1.06,217.0,1.08,75%,140.7,0.75,0.32,0.13,0.11,35%,16%,1399,1296,597,252,199,2024,False,1.06,1.03,0.25,EMEAS,EMEAS,EMEAS
xccurate,T1,91,"['chamber', 'jett', 'harbor', 'raze', 'omen']",1065,0.95,186.1,0.97,72%,122.4,0.68,0.24,0.07,0.09,26%,11%,724,747,253,75,92,2024,False,0.95,0.85,0.27,Pacific,Pacific,Pacific
xeppaa,Cloud9,237,"['kayo', 'skye', 'raze', 'fade']",762,0.96,187.8,0.87,76%,125.2,0.63,0.45,0.07,0.09,26%,22%,477,547,341,50,65,2024,False,0.96,0.82,0.58,Americas,Americas,Americas
xffero,Rex Regum Qeon,250,"['astra', 'viper', 'breach', 'raze', 'omen']",624,1.03,207.8,1.06,72%,135.2,0.74,0.24,0.08,0.08,31%,19%,459,432,148,53,53,2024,False,1.03,0.85,0.21,Pacific,Pacific,Pacific
yay,BLEED,325,"['jett', 'chamber', 'sage', 'breach']",282,0.83,194.8,0.85,68%,129.6,0.66,0.16,0.17,0.21,25%,23%,187,220,45,47,60,2024,False,0.83,0.6,0.23,Pacific,Pacific,Pacific
yetujey,FUT Esports,218,"['killjoy', 'cypher', 'chamber', 'viper', 'sage']",1219,1.07,201.3,1.1,71%,132.6,0.71,0.23,0.1,0.09,26%,16%,870,794,280,125,114,2024,False,1.07,0.98,0.23,EMEAS,EMEAS,EMEAS
yhchen,JDG Esports,227,"['sova', 'breach', 'kayo', 'viper', 'fade']",353,,188.8,0.92,,128.5,0.64,0.38,0.08,0.08,,,225,245,133,15,15,2024,True,0.98,0.74,0.46,China,China,China
yosemite,Bilibili Gaming,325,"['killjoy', 'raze', 'viper', 'cypher']",660,0.61,206.5,1.0,55%,122.2,0.72,0.27,0.09,0.09,25%,,473,471,176,29,31,2024,False,0.61,0.51,0.25,China,China,China
you,ZY Gaming,269,"['sova', 'fade', 'omen', 'skye', 'breach']",566,,190.2,0.97,,,0.66,0.31,,,,,375,385,173,0,0,2024,False,0.98,0.8,0.35,China,China,China
yuicaw,Wolves Esports,257,"['jett', 'chamber', 'raze', 'killjoy', 'cypher']",487,,221.2,1.07,,162.1,0.78,0.27,0.14,0.06,,,381,355,133,20,9,2024,False,0.98,0.78,0.19,China,China,China
yuran,ZETA DIVISION,45,"['viper', 'sova', 'breach', 'kayo', 'gekko']",657,0.86,173.9,0.76,70%,118.0,0.57,0.43,0.06,0.09,26%,8%,373,492,282,38,61,2024,False,0.86,0.72,0.67,Pacific,Pacific,Pacific
zekken,Sentinels,487,"['raze', 'sova', 'jett', 'kayo', 'skye']",1650,1.13,255.3,1.19,72%,163.9,0.88,0.22,0.22,0.18,24%,17%,1452,1223,362,366,292,2024,False,1.13,1.08,0.08,Americas,Americas,Americas
zellsis,Sentinels,412,"['kayo', 'killjoy', 'raze', 'phoenix', 'viper']",1650,1.01,184.9,1.0,74%,120.1,0.64,0.38,0.06,0.08,19%,15%,1051,1055,622,104,127,2024,False,1.01,0.96,0.46,Americas,Americas,Americas
zmjjkk,EDward Gaming,440,"['jett', 'raze', 'chamber', 'neon']",1606,1.1,260.9,1.2,69%,159.4,0.91,0.22,0.21,0.18,24%,16%,1455,1215,354,204,175,2024,False,1.1,1.04,0.06,China,China,China
zyppan,Natus Vincere,366,"['raze', 'kayo', 'sage', 'skye']",760,0.99,215.3,1.0,71%,144.6,0.75,0.3,0.12,0.13,29%,8%,568,570,229,93,97,2024,False,0.99,0.84,0.24,EMEAS,EMEAS,EMEAS
