Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
uyen,Carti World,46,"['raze', 'sova', 'viper', 'gekko', 'astra']",294,1.03,209.0,0.99,72%,143.4,0.73,0.29,0.12,0.10,24%,16%,,,214,217,85,35,28
v1c,Moist x Shopify,449,"['omen', 'brimstone', 'kayo', 'killjoy', 'breach']",826,1.19,225.7,1.27,78%,146.0,0.79,0.36,0.10,0.06,27%,10%,,,653,515,297,85,51
v1nny,RED Canids,441,"['skye', 'sova', 'breach', 'kayo', 'cypher']",1223,0.98,190.2,0.97,71%,126.2,0.66,0.35,0.06,0.10,33%,12%,,,809,837,432,73,117
vade,Unknown,43,"['viper', 'cypher', 'omen', 'killjoy', 'skye']",282,0.64,121.3,0.59,59%,81.3,0.43,0.19,0.07,0.11,36%,18%,,,121,204,54,20,31
vague,United Gaming,289,"['raze', 'jett', 'omen', 'reyna']",1470,1.04,238.0,1.12,68%,152.6,0.85,0.12,0.21,0.19,35%,13%,,,1246,1115,170,309,272
vakk,NASR Esports,448,"['jett', 'raze', 'breach', 'killjoy', 'cypher']",1115,0.95,181.7,0.98,71%,123.0,0.66,0.20,0.08,0.07,28%,13%,,,734,746,224,89,83
valdyn,Alter Ego,152,"['jett', 'cypher', 'sova', 'breach', 'skye']",777,1.03,198.8,1.02,74%,130.4,0.71,0.36,0.09,0.09,30%,13%,,,549,540,280,70,71
vandals,Six Karma,48,"['omen', 'harbor', 'brimstone']",504,0.89,183.7,0.85,66%,120.5,0.64,0.33,0.08,0.11,32%,16%,,,323,381,165,40,55
vascalizz,Unknown,322,"['sova', 'skye', 'fade', 'raze', 'sage']",658,0.93,180.9,0.89,69%,117.8,0.64,0.29,0.06,0.06,26%,9%,,,419,472,194,40,41
veenx,Vision Esports,81,"['breach', 'omen', 'kayo', 'gekko', 'skye']",388,0.84,158.4,0.72,66%,105.2,0.55,0.37,0.05,0.06,30%,7%,,,212,295,144,19,22
velis,Unknown,490,"['omen', 'jett', 'raze', 'skye', 'chamber']",725,1.10,196.4,1.06,76%,132.3,0.69,0.45,0.07,0.07,25%,14%,,,497,470,325,48,51
venka,Unknown,118,"['jett', 'raze', 'killjoy', 'chamber']",888,0.97,224.1,1.01,66%,145.9,0.79,0.13,0.19,0.17,32%,7%,,,705,697,118,170,152
ventt,HOWL Esports,190,"['omen', 'brimstone', 'astra', 'harbor', 'viper']",1045,1.00,193.8,0.98,75%,126.3,0.69,0.40,0.09,0.09,32%,15%,,,726,744,418,91,90
veqaj,Zerance,148,"['skye', 'jett', 'raze', 'breach', 'kayo']",617,1.11,208.7,1.11,75%,136.9,0.74,0.36,0.10,0.09,23%,15%,,,455,410,224,64,55
vera,Disguised,234,"['jett', 'raze', 'neon']",971,1.11,250.9,1.17,71%,163.2,0.86,0.21,0.20,0.18,20%,14%,,,832,710,208,191,172
verno,Unknown,413,"['sova', 'chamber', 'skye', 'sage']",868,1.18,199.5,1.28,76%,135.8,0.72,0.34,0.06,0.06,29%,18%,,,626,490,297,54,48
vibhorr,Unknown,417,"['killjoy', 'viper', 'cypher', 'sova', 'omen']",422,0.89,191.6,0.89,68%,121.2,0.67,0.28,0.09,0.09,23%,16%,,,281,316,117,39,40
vina,Unknown,62,"['viper', 'omen']",605,0.90,181.8,0.86,71%,118.8,0.62,0.35,0.09,0.09,30%,9%,,,376,435,210,52,55
vince,CGN Esports,330,"['omen', 'astra', 'brimstone', 'viper', 'sova']",1402,1.01,186.1,1.01,73%,120.6,0.67,0.38,0.06,0.07,22%,17%,,,938,930,526,86,99
viness,Team Flash,265,"['omen', 'astra', 'viper']",488,0.99,199.3,0.97,74%,132.7,0.68,0.39,0.10,0.11,26%,10%,,,333,344,188,50,52
vini,NIGERIA 96,98,"['viper', 'killjoy', 'omen', 'cypher', 'gekko']",227,0.94,193.7,0.88,72%,131.6,0.64,0.26,0.12,0.06,25%,14%,,,145,164,60,28,14
virtyy,E-Xolos LAZER,495,"['kayo', 'raze', 'skye', 'jett', 'breach']",528,1.02,250.7,1.05,72%,159.8,0.82,0.24,0.22,0.20,22%,N/A,,,435,414,129,116,106
vitie,apinaorkesteri,104,"['omen', 'astra', 'viper', 'sova', 'brimstone']",930,1.17,227.9,1.13,76%,148.7,0.80,0.39,0.08,0.07,29%,25%,,,747,660,365,79,64
vizsla,FOCUSGG,138,"['killjoy', 'chamber', 'viper', 'cypher']",847,1.05,213.0,1.09,71%,144.0,0.74,0.20,0.12,0.10,31%,6%,,,625,576,172,102,83
vlt,Suicide Squad,196,"['raze', 'jett', 'sage', 'killjoy']",860,0.92,207.9,0.92,64%,138.6,0.74,0.17,0.13,0.14,31%,11%,,,637,693,144,109,117
volay,Ambitious Legend Gaming,13,"['sova', 'astra', 'skye', 'omen', 'cypher']",208,N/A,166.9,0.81,N/A,120.2,0.61,0.22,0.06,0.08,N/A,N/A,,,126,155,46,13,16
vong,Unknown,249,"['jett', 'sova', 'skye', 'omen', 'raze']",345,0.89,182.4,0.84,66%,118.4,0.64,0.32,0.10,0.10,29%,15%,,,221,263,112,33,33
vorwenn,Barça eSports,201,"['sova', 'jett', 'viper', 'fade', 'brimstone']",844,0.89,172.8,0.86,71%,114.9,0.60,0.29,0.06,0.08,30%,17%,,,508,594,241,49,69
vow,VEC DAEJEON,105,"['killjoy', 'viper', 'sova', 'chamber', 'astra']",286,1.02,207.4,0.96,72%,142.9,0.69,0.31,0.09,0.13,30%,4%,,,197,205,88,25,38
vtagut,Falke Esports,326,"['omen', 'viper', 'astra', 'brimstone']",493,0.96,179.4,0.91,69%,119.4,0.65,0.34,0.07,0.09,32%,18%,,,321,353,169,35,45
vuexlex,Unknown,48,"['jett', 'raze', 'kayo']",270,0.91,211.8,0.91,63%,143.0,0.73,0.22,0.13,0.16,28%,13%,,,198,217,59,36,44
vyx,Fisher Navy,379,"['omen', 'viper', 'kayo', 'breach', 'killjoy']",1050,1.07,187.0,1.05,76%,123.6,0.65,0.39,0.06,0.06,26%,10%,,,685,654,413,64,59
w0zzip,Fire Flux Esports,135,"['kayo', 'gekko', 'breach', 'omen', 'raze']",818,0.95,171.6,0.96,74%,113.0,0.60,0.33,0.06,0.07,26%,15%,,,494,517,274,48,57
w1nner,Unknown,207,"['killjoy', 'jett', 'omen', 'cypher', 'astra']",586,0.97,202.1,1.02,69%,136.0,0.72,0.19,0.12,0.11,27%,17%,,,419,412,112,72,67
wackie,DSYRE,280,"['jett', 'raze', 'chamber', 'killjoy', 'kayo']",631,1.23,230.8,1.34,78%,147.4,0.82,0.36,0.11,0.08,29%,20%,,,518,388,225,68,49
waddle,DSYRE,375,"['sova', 'sage', 'skye', 'fade', 'viper']",631,1.14,194.3,1.20,79%,131.1,0.70,0.33,0.06,0.05,30%,22%,,,444,369,209,38,33
waken,Metizport,56,"['omen', 'viper', 'astra']",368,0.89,180.6,0.85,72%,114.0,0.65,0.34,0.09,0.12,31%,20%,,,240,281,126,34,43
wanzeru,B8 Esports,117,"['raze', 'jett', 'neon']",907,1.05,240.2,1.05,68%,158.6,0.83,0.16,0.21,0.19,22%,11%,,,753,717,146,186,170
wasp,Unknown,127,"['sova', 'skye', 'viper', 'breach', 'sage']",369,0.91,193.4,0.85,68%,121.6,0.67,0.32,0.11,0.09,38%,11%,,,246,291,117,38,33
